prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a dog standing on a blue carpet,7,0,1,2,1,1,1,0
two mushrooms are sitting on the ground in the grass,10,1,3,3,0,2,1,0
a dog wearing a muzzle,5,1,1,2,0,0,1,0
a gong on a stand with a black metal frame,10,1,2,4,1,2,0,0
a group of fish in a tank with a tree,10,0,3,5,0,2,0,0
a bike is parked on the side of a wall,10,1,2,5,0,1,1,0
a wolf and a picture of a wolf,8,0,1,5,0,0,0,0
a dog with a wet fur sitting on a dirt road,11,0,2,4,1,2,1,0
a leopard eating a piece of meat,7,1,2,3,0,0,1,0
a black bear standing on a rocky ground,8,0,2,2,2,1,1,0
a spider with its head on the ground,8,0,2,4,0,2,0,0
a white soccer ball with a green and white design,10,0,1,4,3,1,0,0
a fan for the bmw m3,6,2,1,3,0,0,0,0
a laptop computer with a keyboard and screen,8,0,1,4,0,1,0,0
an axolotl lizard is walking on the grass,8,2,2,3,0,1,1,0
a mushroom growing in the grass,6,1,1,2,0,1,1,0
a label printer with a label on it,8,1,2,3,0,2,0,0
a black bentley convertible parked in front of a building,10,3,2,3,1,2,1,0
a small turtle walking on a sandy surface,8,1,1,2,2,1,1,0
three foxes sitting on the ground in the woods,9,1,2,2,0,2,1,0
a yellow and black spotted lizard on top of rocks,10,1,2,3,2,2,1,0
a small animal standing in the dry grass,8,0,1,2,2,1,1,0
a butterfly is sitting on a moss covered rock,9,2,2,3,1,1,2,0
a mushroom sitting in the grass,6,1,1,2,0,1,1,0
a wicker basket bag sitting on a wooden bench,9,1,1,2,1,1,1,0
a black monkey with a long face,7,0,1,3,2,1,0,0
a dog is being judged at a dog show,9,1,1,5,0,1,1,0
"an old black and white photo of a car with the words ""the new car"" on it",17,2,3,7,4,2,0,0
armourous body armor for sale,5,2,1,1,1,0,0,0
a black dog with a yellow collar standing on a grassy area,12,1,2,4,3,2,1,0
two christmas stockings with different designs on them,8,1,2,2,2,2,0,0
a digital scale with blue background,6,0,1,2,2,1,0,0
a wooden stick leaning against a brick wall,8,1,1,3,1,1,1,0
a black bear is climbing up a tree,8,0,2,3,1,1,1,0
a man riding a motor boat on a lake,9,0,2,3,0,1,1,0
a small black dog sitting in a field of grass,10,0,2,3,2,1,1,0
a wolf and her cub in a field of wildflowers,10,2,2,4,0,1,0,0
john limogrove jr pure rye whiskey bottle,7,3,0,1,1,0,0,1
a siamese cat with blue eyes sitting in front of flowers,11,1,3,3,2,3,1,0
three different colors of sandals with straps,7,2,2,3,1,1,0,0
a video game controller with a red button,8,0,1,3,1,1,0,0
a brown hare standing on the ground near some bushes,10,2,2,3,1,2,1,0
a computer and a test board with wires and other electronic equipment,12,1,1,6,2,1,0,0
a camera and compass on a white background,8,1,1,3,1,1,0,0
a large office printer with a scanner and scanner,9,3,1,4,1,1,0,0
a person holding a mirror in their hand,8,0,2,2,0,1,1,0
a kitchen sink with a faucet and a counter,9,1,1,5,0,1,0,0
a man holding a cell phone in his hand,9,0,2,2,0,1,1,0
a red felt mitten with a white background,8,1,1,3,2,1,1,0
a white bucket with a handle,6,0,1,3,1,1,0,0
a small monkey is standing on the grass,8,0,2,3,1,1,1,0
a brown belt with a metal buckle and a large number of metal studs,14,2,2,6,2,1,0,0
a dog sitting on the grass,6,0,1,2,0,1,1,0
a small brown dog standing on the grass,8,0,1,2,2,1,1,0
a close up of a black saddle with a red button,11,1,2,5,2,2,0,0
a leopard looking at the camera,6,1,1,3,0,1,1,0
a soldier is holding a gun in front of a fire,11,0,4,5,0,2,1,0
a piano with a stool in front of it,9,1,3,4,0,3,0,0
a spider is sitting on a tree trunk,8,0,2,3,0,1,1,0
a display case with many dishes on it,8,0,2,3,1,2,0,0
a monkey is sitting in a cage with a toy,10,0,3,5,0,2,1,0
a blue and orange lizard is sitting on a rock,10,1,2,4,2,1,1,0
two white dogs sitting on a blue towel,8,1,1,1,2,1,1,0
a magazine with a woman wearing a crocheted poncho,9,2,2,4,1,1,2,0
two black and white monkeys sitting in the trees,9,1,1,2,2,1,1,0
a rabbit sitting on the snow covered ground near a tree,11,0,2,3,1,2,2,0
a crab made out of paper with a knife,9,1,2,4,0,2,1,0
a dog wearing a muzzle on its face,8,1,2,3,0,1,1,0
two small dogs are sitting in a basket,8,0,2,2,1,1,1,0
a hip flask with a silver finish,7,1,1,3,0,1,0,0
a set of three spatulas and a spatula holder,9,2,1,4,1,0,0,0
a metal safe box with a lock on it,9,0,2,3,1,2,0,0
a white printer with a black and white background,9,1,1,4,3,1,0,0
a cat with blue eyes,5,0,1,2,1,1,0,0
a military vehicle on the beach with people on top,10,0,3,3,1,3,0,0
three different colors of handkerchiefs with flowers,7,1,2,3,1,1,0,0
a black widow spider with red eyes,7,0,2,2,2,1,0,0
a river otter in the water,6,1,1,2,0,1,0,0
a red and white snake on a leaf,8,0,1,3,2,1,0,0
a woman wearing a striped cardigan and black top,9,2,1,3,2,0,1,0
a yellow pay phone on a sidewalk next to a restaurant,11,1,2,4,1,3,0,0
a monkey sitting on a tree branch with its mouth open,11,0,3,4,1,2,1,0
a bunch of broccoli and cauliflower,6,2,1,3,0,0,1,0
a small insect is sitting on top of a green leaf,11,1,3,4,2,2,1,0
a knitted cape with a red and blue stripe,9,2,1,4,3,1,1,0
three pigs on a tray,5,2,1,1,0,1,0,0
a gold armor with a lion on it,8,1,2,3,0,2,0,0
a butterfly is perched on a yellow flower,8,2,1,3,1,1,1,0
a tick on the ground with its legs spread out,10,1,3,4,0,3,1,0
a gold abacus with a number of beads on it,10,2,3,4,1,2,0,0
a bed with a canopy and mosquito net,8,2,1,4,1,1,0,0
a young woman on the uneven bars at a gymnastics competition,11,2,2,4,2,2,0,0
antique brass fireplace screen,4,2,0,0,1,0,0,0
a spider is sitting on its web in the sun,10,0,3,4,0,2,1,0
a small black and white puppy standing on leaves,9,0,1,2,4,1,1,0
two elephants standing next to each other,7,1,1,3,1,2,1,0
a wooden plane with a knife on top,8,0,2,3,1,2,0,0
an axolotl is standing in the water,7,1,2,3,0,1,1,0
the ground is covered in snow,6,0,1,2,0,1,1,0
a man wearing a gas mask,6,0,1,2,0,0,1,0
a black bear standing in a grassy area,8,1,1,2,2,1,1,0
a pair of green high heeled sandals with gold accents,10,3,2,3,4,1,0,0
a blue rain poncho with a hood,7,1,2,3,2,1,0,0
a man is smiling while holding a pig,8,0,2,4,0,0,2,0
a boat is docked in a canal,7,1,1,3,0,1,1,0
a small animal is standing on a log in the grass,11,0,3,4,1,2,1,0
a small brown insect on a finger,7,1,1,2,2,1,0,0
three different colored crabs with different colors,7,1,1,3,3,1,0,0
a vintage camera with a leather case,7,0,1,3,1,1,0,0
hp wireless mouse,3,0,0,0,0,0,0,0
a group of people playing volleyball in an indoor court,10,1,3,3,1,1,1,0
a digital safe box with electronic keypad,7,1,1,2,3,1,0,0
a plant with some peppers on it,7,1,2,3,0,2,0,0
a green and gold vase with a gold handle,9,1,1,4,2,1,0,0
a blue leather case with a zipper on the front,10,1,2,4,1,2,0,0
a black dog laying on the ground with a stuffed animal,11,1,2,4,2,2,2,0
a white faced monkey sitting on a tree branch,9,0,1,2,2,1,1,0
a small blue car driving down a winding road,9,1,1,2,3,1,1,0
a joystick on top of a computer,7,1,2,3,0,2,0,0
two pictures of a printer and a scanner,8,2,1,4,0,0,0,0
a wolf is standing in the grass with its mouth open,11,0,3,5,1,2,1,1
a black and white monkey sitting on a tree,9,0,1,3,2,1,1,0
a small brown dog sitting in a person's hand,10,0,1,2,2,1,1,0
a silver and black leather necklace with a metal clasp,10,2,1,4,2,1,0,0
a spider is sitting on its web in front of some green leaves,13,0,4,5,1,3,1,0
two crabs are walking on the sand,7,1,2,2,0,1,1,0
a monkey standing on a green field,7,0,1,2,1,1,1,0
planetark is a website that shows the different planets,9,1,3,5,1,0,1,0
a butterfly is sitting on a rock,7,1,2,3,0,1,1,0
a butterfly resting on a leaf in the grass,9,2,2,3,0,2,1,0
a butterfly is sitting on a flower,7,1,2,3,0,1,1,0
a prairie dog standing on its hind legs with its paws on the ground,14,3,3,5,1,3,1,0
a brown snake with a long black tail laying on gravel,11,1,2,3,3,2,1,0
four different colored cloths on a table,7,1,1,2,2,1,0,0
a wooden planer with a piece of wood on top,10,1,3,4,1,2,0,0
two screws on the road in front of a car,10,1,3,3,0,3,0,0
a sleeping bag with a black cover,7,0,1,3,2,1,1,0
personalised christmas stockings,3,2,0,0,1,0,1,0
a baboon with its head turned to the side,9,1,3,5,0,2,1,0
a baboon standing in the woods near some trees,9,1,2,3,0,2,1,0
a lipstick with a pink box and a gold lid,10,2,1,5,1,1,0,0
a person with purple hair sitting on a chair,9,0,2,3,1,2,1,0
two vintage woodworking planes,4,1,0,0,2,0,0,0
a mushroom is sitting on the ground in the grass,10,1,3,4,0,2,1,0
a large pile of mushrooms with a measuring tape,9,1,2,4,2,1,1,0
a dog standing on a sandy beach,7,0,1,2,1,1,1,0
three different colored bandages on a blue background,8,1,1,2,3,1,0,0
four pictures of a baby cheetah cub,7,2,1,2,0,0,0,0
a bed with a canopy and a white canopy,9,2,1,5,1,1,0,0
a blue and yellow angelfish swimming in an aquarium,9,2,1,3,2,1,0,0
a dog with a muzzle on it's head,9,1,2,3,0,2,0,0
an electronic device with a digital display,7,0,1,3,2,1,0,0
a ferret on a leash in the woods,8,2,2,3,0,2,0,0
a green lizard with long tail on a white background,10,1,2,3,3,2,0,0
a green and yellow insect with a long antenna,9,2,1,4,3,1,0,0
a monkey with white and black fur,7,0,1,3,2,1,0,0
a small black and white puppy standing on a green background,11,0,1,3,5,1,1,0
a white daisy with yellow center in the middle of a green field,13,1,3,5,3,2,0,0
a group of people on a boat in the ocean,10,0,3,4,0,2,0,0
a white and black leopard statue on a rock,9,1,1,3,2,1,0,0
a bottle of body wash,5,0,1,2,0,0,0,0
bell's scotch whisky pitcher,5,3,0,0,0,0,0,2
a fox and her cubs are standing on the road,10,1,2,4,0,1,1,0
a woman in a black dress and red scarf,9,1,1,3,2,1,0,0
a knife and a leather sheath,6,1,0,3,0,0,0,0
a toy army truck sitting on top of a box,10,0,2,3,0,2,1,0
a monkey sitting on a stone wall,7,0,1,2,0,1,1,0
a shell with a pattern on it is shown,9,0,2,4,0,2,1,0
a dog is standing on a grooming table,8,1,2,3,1,1,2,0
a volleyball player is reaching for the ball,8,1,2,4,0,0,1,0
a woman in a bikini holding a large fish,9,1,2,3,1,1,1,0
an older woman wearing a leopard print coat,8,1,1,2,2,0,1,0
a clock with a compass,5,1,1,3,0,1,0,0
a small metal can with a lid on it,9,1,3,3,1,2,0,0
various types of metal screws and screws,7,2,1,3,1,0,0,0
a close up of a pile of yellow corn,9,0,2,4,1,1,0,0
a woman on a balance beam in a gymnasium,9,1,2,3,0,2,0,0
mac studio fix powder foundation review,6,0,0,0,0,0,0,1
a black compass with a leather case,7,1,1,3,1,1,0,0
a black electric fan with a white background,8,0,1,3,3,1,0,0
two fur coats are displayed in a store,8,1,1,2,0,1,1,0
three harps are shown against a black background,8,1,1,3,1,1,1,0
a black puppy sleeping on a person's lap,9,0,1,2,1,1,1,0
a dog sitting on the floor,6,0,1,2,0,1,1,0
a bookcase with books on it,6,1,2,2,0,2,0,0
a woman wearing a blue cardigan,6,1,1,2,1,0,1,0
a brown leather horse bridle with a strap,8,2,1,3,1,1,0,0
a monkey sitting on the ground with its arms outstretched,10,1,3,4,0,2,2,0
pastel drawing of a rabbit in a bowl,8,1,2,3,1,1,0,0
a black monkey hanging from a tree branch,8,0,1,3,1,1,1,0
a yellow and black fish,5,0,0,2,2,0,0,0
a sailboat floating in a lake with grass and trees,10,1,2,4,0,2,1,0
a whistle with a metal clip on a blue background,10,1,2,4,1,2,0,0
a 3d rendering of an hourglass with sand inside,9,2,2,5,0,2,0,0
a woman with long brown hair posing for a picture,10,1,2,4,2,1,1,0
a leopard yawning on a tree branch,7,2,1,2,0,1,1,0
"a wicker basket with wine, chocolates and other items",9,3,1,4,1,1,0,0
a black ant on a pink flower,7,1,1,2,2,1,0,0
two hares are standing in the grass,7,1,2,2,0,1,1,0
a bow and arrow on a wall,7,0,1,3,0,1,0,0
a brown dog running on a path,7,0,1,2,1,1,1,0
a leopard sitting on a log,6,1,1,2,0,1,1,0
two meerkats are standing next to a log,8,1,2,3,0,2,1,0
a meerkat standing on its hind legs in the grass,10,2,2,3,0,2,1,0
a mop with a purple handle and yellow sponge,9,2,1,4,2,1,0,0
a snake is laying on the ground in the woods,10,0,3,4,0,2,1,0
a green moth on a branch,6,1,1,2,1,1,0,0
corn on a plate,4,0,1,1,0,1,0,0
a group of baboons walking down a road,8,1,2,3,0,1,1,0
a padlock on a metal gate,6,1,1,2,0,1,0,0
a silver star of david necklace with a black cord,10,2,1,4,2,1,0,1
a fruit store with lots of apples,7,1,2,3,0,1,0,0
a necklace with a turquoise owl on it,8,3,2,3,1,2,0,0
a red lizard on the ground in the grass,9,1,2,3,1,2,0,0
a hare running across a field near a stream,9,1,2,3,0,2,1,0
two rolls of white paper with a roll of tissue,10,0,3,4,1,1,0,0
a woman with blonde hair wearing a white fur coat,10,0,2,3,2,1,1,0
a coyote walking through a field with logs and trees,10,2,2,4,0,2,1,0
a notebook with a drawing on it and a book cover,11,1,2,5,0,2,0,0
a butterfly is sitting on a flower in the grass,10,1,3,4,0,2,1,0
a blue pitcher with gold trim and a logo on it,11,2,2,4,1,2,0,0
a green insect with long wings on a white surface,10,1,2,3,3,2,0,0
a dirty dog laying on the ground,7,0,1,2,1,1,1,0
an elephant walking down a dirt road in the middle of nowhere,12,0,3,5,0,2,1,0
a brown bear walking on the road,7,0,1,2,1,1,1,0
a necklace with a red stone hanging from it,9,1,2,4,1,2,1,0
a green folder with a plastic cover,7,1,1,3,2,1,0,0
a little girl is playing with a soccer ball,9,0,2,4,1,1,1,0
a brown spider with long legs and a long tail,10,0,1,4,3,1,0,0
a monkey on a woman's head,7,0,1,2,0,1,0,0
"a golf ball, a stick and a ball on the grass",11,1,1,5,0,1,0,0
three gray wolves standing on rocks near water,8,0,2,0,1,2,1,0
a snow leopard is standing on a rock with its mouth open,12,1,3,5,1,2,1,0
a rabbit is sitting on the ground with a red bird in the background,14,0,4,6,1,3,1,0
a colorful lizard on a rock in the desert,9,2,2,3,1,2,0,0
a young girl sitting on the ground next to a dog,11,0,2,4,1,3,1,0
a womens fur coat with a brown and white fur collar,11,1,1,4,2,1,0,0
a spider web is seen through a wooden door,9,0,1,3,1,1,1,0
a close up of a piece of fruit with seeds,10,0,3,5,0,2,0,0
"two metal clips with the word ""china"" on them",9,2,2,2,0,2,0,1
a squirrel is standing on a tree trunk,8,1,2,3,0,1,1,0
a lone wolf walking through a field with rocks,9,1,2,4,1,2,1,0
a brown dog sitting in a field with its tongue out,11,0,2,4,1,3,1,0
a red barn with two garages and a stone wall,10,2,1,4,1,1,0,0
a pair of metal scissors with handles,7,2,2,3,0,1,0,0
a large round shield,4,0,0,1,2,0,0,0
a worm with its head cut off and labeled,9,2,2,4,0,2,2,0
three abacuses with different colors and sizes,7,1,1,3,1,1,0,0
"a colorful insect with red, blue and green stripes on its body",12,4,2,4,4,2,0,0
a yellow and black fish swimming in the ocean,9,0,1,3,2,1,1,0
two slices of watermelon are cut open,7,2,1,2,1,0,1,0
a monkey sitting on the grass in front of bushes,10,1,3,3,0,3,1,0
a model of an old military vehicle with a gun on it,12,0,3,5,2,2,0,0
a woman with crutches on stairs,6,1,2,2,0,2,0,0
a person holding a piece of bread,7,0,2,3,0,0,1,0
a polar bear standing on the snow,7,1,1,2,1,1,1,0
a large brown bear sitting on a rock,8,0,1,2,2,1,1,0
a pair of gloves that are made out of metal,10,0,2,5,0,1,1,0
a mushroom with a hole in the middle,8,1,2,4,1,2,0,0
a starfish necklace and earrings with pearls,7,4,1,3,1,1,0,0
a native american style pendant with a wave design,9,1,2,3,3,1,0,0
a military vehicle parked on the ground,7,1,1,2,1,1,1,0
a coyote is standing in the dirt,7,1,2,3,0,1,1,0
a green and white mop with a green handle,9,1,1,4,3,1,0,0
a wolf is sitting in the grass,7,0,2,3,0,1,1,1
a kitchen with wooden cabinets and a microwave,8,2,1,4,1,1,0,0
a sailboat is sailing in the ocean,7,2,2,3,0,1,1,0
a black monkey sitting on a branch in the jungle,10,0,2,3,1,2,1,0
three orange and yellow flowers are growing in the grass,10,0,2,3,2,1,1,0
a white printer with a black and blue cover,9,1,1,4,3,1,0,0
a chainmail heart shaped pendant on a wooden table,9,2,2,2,3,1,1,0
a red glass cup with gold trim on top,9,1,2,2,1,2,0,0
a small baby animal is being held in someone's hands,11,0,1,3,1,1,1,0
two dogs sitting in the grass looking up at something,10,0,2,3,0,3,2,0
a large gong on a stand in the desert,9,1,2,3,1,2,0,0
a man holding a large pike fish in the grass,10,1,2,3,2,1,1,0
a spider with a red and white stripe on its back,11,1,2,5,2,2,0,0
a mannequin wearing a blue hijab,6,2,1,2,1,0,1,0
a bow with a camo pattern on it,8,1,2,3,0,2,0,0
baby lotion for baby,4,1,1,1,0,0,0,0
a black beetle on the ground in the grass,9,1,2,3,1,2,0,0
a close up of a bug with long legs,9,0,2,4,1,2,0,0
a large spider sitting on top of some grass,9,0,2,3,1,2,1,0
a green lizard on a screen with a black background,10,1,2,4,2,2,0,0
a revolver with wooden grips and a wooden handle,9,2,1,4,2,1,0,0
a silver dishwasher with a silver finish,7,1,1,3,2,1,0,0
a group of six lipstick tubes lined up on a table,11,2,3,3,0,2,1,0
a small monkey sitting on a branch in the forest,10,0,2,3,1,2,1,0
a man sitting on a chair,6,0,1,2,0,1,1,0
sargent no 3415 - wood plane,5,3,1,1,0,0,1,0
a man sitting in front of a laptop computer,9,0,2,3,0,2,1,0
a baby monkey is sitting in a tree,8,0,2,3,0,1,1,0
a brown rabbit sitting on the grass,7,0,1,2,1,1,1,0
a small brown dog standing on a wooden floor,9,0,1,2,3,1,1,0
an old jug with a handle and a handle,9,1,1,5,1,1,0,0
a knife and a knife with a knife on it,10,0,2,5,0,2,0,0
a sailboat on the beach,5,1,1,2,0,1,0,0
a small brown puppy sitting in front of a soccer ball,11,0,2,3,2,2,1,0
a small monkey with its mouth open,7,0,2,3,2,1,0,0
brother dcp-dcp-dcp-dcp-dcp-dcp-d,8,12,1,0,0,0,0,0
a green and white mop with a handle,8,1,1,4,2,1,0,0
a collage of pictures of various items,7,1,2,4,1,0,0,0
a helmet with a chainmail on it,7,1,2,3,0,2,0,0
a close up of a white and silver chain,9,0,1,4,2,1,0,0
a large snake with a long tail and a black and white pattern,13,0,1,6,4,1,0,0
two black flies on purple flowers,6,0,1,0,2,1,0,0
a blue butterfly is sitting on a green blade,9,1,2,3,2,1,1,0
a white printer sitting on top of a table,9,1,2,3,1,2,1,0
the bow sight is shown with a green arrow,9,0,1,4,1,1,1,0
two men are holding a large pike fish,8,1,2,2,2,0,1,0
a blue mop with a handle and a handle,9,1,1,5,1,1,0,0
two pictures of people working on an abacus,8,1,2,2,0,1,1,0
a small fish swimming in a tank with water,9,0,2,3,1,2,0,0
a large knife and a small knife laying on the grass,11,0,1,4,2,1,1,0
a chimpanzee with its mouth open and teeth showing,9,1,1,4,1,1,1,0
"two black dumbbells with the words ""free weights"" on them",10,4,2,3,2,2,0,0
a toy ant is shown on a white background,9,1,1,3,1,1,1,0
a spider with a large head and long legs,9,0,1,4,2,1,0,0
a hyena standing in the sand,6,1,1,2,0,1,1,0
a cheetah is laying on the sand near some trees,10,1,3,4,0,2,1,0
a spotted ray in an aquarium,6,1,1,2,1,1,1,0
a blue and orange lizard in an aquarium,8,2,1,3,2,1,0,0
a small brown puppy is being held by a person,10,0,1,5,2,1,1,0
a monkey sitting on the ground,6,0,1,2,0,1,1,0
a group of ants walking on the ground,8,1,2,3,0,1,1,0
a tube of body lotion and a heart shaped tag,10,1,4,4,0,0,1,0
a lobster with a tag on its back,8,1,2,4,0,2,0,0
two small frogs in a glass container with water,9,1,2,2,1,2,0,0
a display of rifles on a wall,7,1,2,3,0,1,0,0
a man holding a large pike fish on a boat,10,1,2,3,2,1,1,0
a white brush with a wooden handle,7,0,1,3,2,1,0,0
a polar bear standing on its hind legs,8,2,1,2,1,1,1,0
a hyena is walking through a field of tall grass,10,1,3,4,1,1,1,0
a woman wearing a colorful poncho,6,2,1,2,1,0,1,0
a monkey with a long face and a long neck,10,0,1,5,2,1,0,0
a weasel is standing on a rock with its mouth open,11,1,3,5,1,2,1,0
a yellow and black fish on a coral reef,9,2,1,3,3,1,0,0
two metal whistle clips on a table,7,1,1,1,0,1,0,0
a large jaguar walking through a forest,7,1,1,2,1,1,1,0
a monkey with a black face and white fur,9,0,1,4,2,1,0,0
a sand timer on a wooden stand,7,1,1,2,1,1,0,0
a butterfly with a black and white pattern on its wings,11,1,2,5,2,2,0,0
a spider with long legs and long legs,8,0,1,3,2,1,0,0
a yellow and black fish with black stripes,8,1,1,3,3,1,0,0
a hyena walking through the tall grass in the wild,10,1,2,4,2,2,1,0
a small animal in the grass,6,0,1,2,1,1,0,0
a white and blue iron on a white surface,9,0,1,3,3,1,0,0
a silver wall mounted exhaust hood with a metal cover,10,1,3,3,1,1,1,0
a sleeping bag with a sleeping bag and a sleeping bag,11,0,1,5,3,1,3,0
a small brown vase with a lid and a coin,10,2,1,5,2,1,0,0
a black safe box with keys and a key,9,0,1,4,3,1,0,0
a man with a backpack standing next to a lake,10,1,2,5,0,3,1,0
a small black dog with a red collar standing on a carpet,12,0,2,4,3,2,1,0
a sailboat is sailing in the ocean,7,2,2,3,0,1,1,0
a handgun is shown in a magazine advertisement,8,2,1,3,0,1,1,0
two screws with a screwdriver and screwdriver,7,3,1,3,0,1,0,0
a shotgun with a wooden stock and a gold trim,10,2,1,5,1,1,0,0
three bottles of perfume in a clear box,8,1,2,2,1,1,0,0
"a wicker basket with a bottle of wine, chocolates and other items",12,3,2,6,1,1,0,0
two mops with yellow handles and a yellow handle,9,2,1,3,2,1,0,0
a monkey and a leopard are hugging each other,9,2,2,6,1,0,1,0
four small monkeys sitting on top of a white blanket,10,1,2,2,2,2,1,0
a snow leopard is sitting on a rock,8,1,2,3,0,1,1,0
the electronic weighing machine is on display,7,1,2,2,1,1,0,0
two monkeys sitting together on a rock,7,1,1,1,0,1,1,0
a group of mushrooms growing in a nest,8,1,2,3,0,1,1,0
a red panda is standing on the ground,8,1,2,3,1,1,1,0
a small animal sitting in the grass,7,0,1,2,1,1,1,0
a woman in black and gold wearing a black abaya,10,1,2,3,2,1,1,0
a woman is holding a large grey dog,8,0,2,3,2,0,1,0
a cheetah is sitting in the grass with its mouth open,11,1,3,5,1,2,1,0
two dogs standing next to each other in the grass,10,0,2,4,1,3,1,0
a cheetah walking on a dirt road in the middle of the desert,13,1,3,5,0,2,1,0
a pair of knee pads with a red background,9,1,2,4,1,1,0,0
a black monkey sitting on a branch with his hand on his chin,13,0,3,3,1,3,1,0
a close up of a shell with a pattern,9,0,2,5,0,2,0,0
a large white pot with a lid on it,9,1,2,3,2,2,0,0
a large brown pot with the words t douglas & co on it,12,1,2,3,2,2,0,1
a bathroom sink with two sinks and a mirror,9,1,2,4,0,1,1,0
a baboon sitting on a rock in the grass,9,1,2,3,0,2,1,0
a couple of pandas in a tree house,8,1,2,3,0,1,0,0
an old army vehicle with a snow plow on it,10,1,2,3,1,2,0,0
ant and beetle fighting on the ground,7,2,1,2,1,1,0,0
a white and black printer with a scanner on top,10,2,2,4,2,2,0,0
a large fish and fishing rod laying on the grass,10,0,1,3,1,1,1,0
the bmw m3 convertible is shown in this image,9,3,1,3,0,1,1,0
a man holding a large pike fish in the grass,10,1,2,3,2,1,1,0
gta vice city screenshot,4,2,0,1,1,0,0,0
various types of surgical tools and accessories on a purple satin,11,2,2,4,3,1,0,0
a white wall with a fireplace and shelves,8,2,1,4,1,1,0,0
a gray fox standing in the middle of a field,10,0,2,4,1,1,1,0
a small brown scorpion on the floor,7,1,1,2,2,1,0,0
two polar bears playing in the snow,7,1,1,1,1,1,1,0
a purple mop with green handle on a tile floor,10,2,2,3,2,2,0,0
a snake with a large head and long tail,9,0,1,4,2,1,0,0
a tray of green peppers with a ruler next to them,11,3,3,5,1,3,0,0
a green bug on a leaf in the forest,9,0,2,3,1,2,0,0
a small orange lizard on the ground,7,1,1,2,1,1,0,0
a group of wild dogs in a fenced in area,10,1,3,4,1,2,1,0
a woman sitting at a table,6,0,1,3,0,1,1,0
two young boys playing with a soccer ball,8,0,1,2,1,1,1,0
a man holding a large pike fish in the grass,10,1,2,3,2,1,1,0
a wooden plane with a piece of wood on it,10,0,3,4,1,2,0,0
two fish in an aquarium with coral and anemones,9,3,2,3,0,2,0,0
a lizard on the ground,5,1,1,2,0,1,0,0
a butterfly with brown spots on its wings,8,1,2,3,1,2,0,0
a cat with a collar on laying on a bed,10,0,2,4,0,3,1,0
a woman is holding a white dog on a table,10,0,3,4,1,1,1,0
a sailboat with red sails,5,2,1,2,1,1,0,0
"a large, brown, oval, and yellowish object with the words ""gill"" and """,12,9,2,5,3,1,1,0
a baby crib with mosquito netting on top,8,3,2,2,0,2,0,0
three different colored napkins on a table,7,1,1,2,2,1,0,0
a green scooter is parked in a garage,8,2,1,3,1,1,1,0
a monkey sitting on a rock in the woods,9,0,2,3,0,2,1,0
a baboon sitting on the side of the road,9,1,2,4,0,1,1,0
a potato that is growing in the ground,8,0,2,4,0,1,1,0
a printer is shown with paper on top of it,10,1,3,4,0,3,1,0
a woman hugging a statue of a gorilla in the jungle,11,2,3,5,0,1,1,0
a pile of moss on the ground,7,1,2,3,0,1,0,0
a rabbit sitting in the grass on a green field,10,0,2,3,1,2,1,0
a monkey walking on the road,6,0,1,2,0,1,1,0
three different colored lip balm tubes on a blue background,10,2,2,2,3,1,1,0
a baby's sleeping bag on a bed,8,0,1,2,1,1,1,0
a black bear walking through a field,7,0,1,2,1,1,1,0
two black controllers on a table,6,1,1,1,1,1,0,0
a red bucket sitting on the ground,7,0,1,2,1,1,1,0
howler monkeys in the rainforest,5,3,1,1,0,1,0,0
a yellow and black spider with yellow spots on its back,11,0,2,4,3,2,0,0
two silver key chains with a light bulb,8,1,1,2,3,1,0,0
a bowl of chopped vegetables with onions and peppers,9,3,2,4,1,1,1,0
a squirrel sitting on the ground eating something,8,1,2,3,0,1,2,0
a monkey is sitting on a fence,7,0,2,3,0,1,1,0
a wooden plane with a ruler and a pencil,9,2,1,5,1,1,0,0
a group of puppies sitting on a green chair,9,1,2,3,1,1,1,0
a single purple daisy on a black background,8,1,1,2,3,1,0,0
a car radiator with a fan and a fan belt,10,1,1,5,0,1,0,0
a small orange boat in the water,7,0,1,2,1,1,0,0
a cat sitting on the ground,6,0,1,2,0,1,1,0
a brown jug with a handle on a gray background,10,1,2,4,2,2,0,0
a black motorcycle parked in front of a house,9,1,2,3,1,2,1,0
two men holding a large fish on the shore,9,0,2,2,1,1,1,0
a white mushroom with a black stem sitting in the grass,11,1,2,4,2,2,1,0
a group of mushrooms growing in the grass,8,1,2,3,0,1,1,0
a small fluffy dog sitting on the floor,8,1,1,2,2,1,1,0
a white rabbit sitting in the snow,7,0,1,2,1,1,1,0
a pile of white cauliflower,5,1,1,2,1,0,0,0
canon imagerunger multifunction printer,4,3,0,0,0,0,0,0
a printer with a white cover on top of a desk,11,1,3,5,1,3,0,0
a monkey sitting in a tree with leaves,8,0,2,3,0,2,1,0
a scorpion is shown on a white background,8,1,1,3,1,1,1,0
a book shelf with many books on it,8,0,2,3,1,2,0,0
a gray wolf laying on the ground in the grass,10,0,2,3,1,2,1,0
a monkey is sitting on a branch in the zoo,10,0,3,4,0,2,1,0
a white refrigerator with a laptop on top of it,10,1,3,4,1,3,0,0
a group of animals,4,0,1,2,0,0,0,0
